title,company,location,link
품질센터 인재 Pool 등록 (7월 경력),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=baef52e762695b76
[데이터센터] (경력/신입) 카카오 데이터센터 Data Scientist 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=1806287902a1a36e
바람의나라 게임프로그래머,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=c04309036d0a44a1
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=78e99625e5de3c95
코스닥 상장 게임회사 서비스 보안 담당자,인파트너스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=7f13c34298c6450b
[GC녹십자지놈]AI팀 팀원,녹십자지놈,용인 기흥구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=1cff0856686c501c
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=2b9e604e63e7e46d
AR/VR SDK 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=662beff5f293820b
"백엔드, 웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의",티에스커리어,안양 동안구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=e03c3db92d5c1291
디지털 분야 직무별 경력사원 모집 공고,삼성화재,서울 서초동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=c1a4bc58f165f954
